id,skipped,certified,fdr_significant,wf_folds,wf_median_sharpe,wf_pct_positive,val_trades,val_total_return,val_sharpe_trade_ann,val_sharpe_daily_ann,ho_trades,ho_trades_per_week,ho_total_return,ho_sharpe_trade_ann,ho_sharpe_daily_ann,ho_profit_factor,ho_max_drawdown,ho_expectancy_R,ho_time_under_water,stress_total_return,label_perm_p,random_p,block_boot_p,block_boot_lower_ci,yearly_positive,yearly_total,prop_25k_blowup,prop_25k_blowup_ci_upper,prop_50k_blowup,prop_150k_blowup,prop_25k_research_only,fail_reasons,spec
med__fib_limit_entry_lvl0.618__prev_h4_open,False,False,False,3,-0.186,0.3333,881,-0.1153,-1.787,-1.739,1053,8.66,-0.0693,-0.561,-0.592,0.937,-0.0984,-0.0549,0.9972,-0.1291,0.794,0.776,0.878,-0.1573,0,7,0.288,0.3292,0.11,0.0,True,wf_folds<4 (got 3); wf_median_sharpe<=0.0 (got -0.186); wf_pct_positive_folds<0.5 (got 0.3333); holdout_total_return<=0 (got -0.0693); profit_factor<=1.2 (got 0.937); label_permutation failed (p=0.794); random_baseline failed (p=0.776); block_bootstrap failed (p=0.878); stress_total_return<=0 (got -0.1291); yearly_consistency failed (0 of 7),"{""id"": ""med__fib_limit_entry_lvl0.618__prev_h4_open"", ""bias_timeframe"": ""H4"", ""setup_timeframe"": ""H4"", ""entry_timeframe"": ""M15"", ""signal"": {""type"": ""prev_color""}, ""filters"": [{""type"": ""regime"", ""ma_n"": 50, ""side"": ""with""}], ""entry"": {""type"": ""fib_limit_entry"", ""level"": 0.618}, ""stop"": {""type"": ""prev_h4_open""}, ""exit"": {""type"": ""h4_close""}, ""risk"": {""per_trade_pct"": 0.5}, ""cost_bps"": 1.5, ""seed"": null}"
med__fib_limit_entry_lvl0.618__prev_h4_extreme,False,False,False,3,-2.391,0.3333,881,-0.1764,-1.965,-1.937,1053,8.66,-0.268,-1.906,-1.905,0.785,-0.2804,-0.1539,0.9991,-0.3237,0.996,1.0,1.0,-0.3822,0,7,0.67,0.7098,0.256,0.018,True,wf_folds<4 (got 3); wf_median_sharpe<=0.0 (got -2.391); wf_pct_positive_folds<0.5 (got 0.3333); holdout_total_return<=0 (got -0.268); profit_factor<=1.2 (got 0.785); max_drawdown<-0.2 (got -0.2804); label_permutation failed (p=0.996); random_baseline failed (p=1.0); block_bootstrap failed (p=1.0); stress_total_return<=0 (got -0.3237); yearly_consistency failed (0 of 7),"{""id"": ""med__fib_limit_entry_lvl0.618__prev_h4_extreme"", ""bias_timeframe"": ""H4"", ""setup_timeframe"": ""H4"", ""entry_timeframe"": ""M15"", ""signal"": {""type"": ""prev_color""}, ""filters"": [{""type"": ""regime"", ""ma_n"": 50, ""side"": ""with""}], ""entry"": {""type"": ""fib_limit_entry"", ""level"": 0.618}, ""stop"": {""type"": ""prev_h4_extreme""}, ""exit"": {""type"": ""h4_close""}, ""risk"": {""per_trade_pct"": 0.5}, ""cost_bps"": 1.5, ""seed"": null}"
med__fib_limit_entry_lvl0.618__h4_atr_x1.0,False,False,False,3,-2.496,0.3333,881,-0.1965,-1.637,-1.645,1053,8.66,-0.2928,-1.531,-1.636,0.81,-0.312,-0.1012,0.9934,-0.3576,0.992,0.996,0.988,-0.4388,0,7,0.774,0.8085,0.416,0.038,True,wf_folds<4 (got 3); wf_median_sharpe<=0.0 (got -2.496); wf_pct_positive_folds<0.5 (got 0.3333); holdout_total_return<=0 (got -0.2928); profit_factor<=1.2 (got 0.81); max_drawdown<-0.2 (got -0.312); label_permutation failed (p=0.992); random_baseline failed (p=0.996); block_bootstrap failed (p=0.988); stress_total_return<=0 (got -0.3576); yearly_consistency failed (0 of 7),"{""id"": ""med__fib_limit_entry_lvl0.618__h4_atr_x1.0"", ""bias_timeframe"": ""H4"", ""setup_timeframe"": ""H4"", ""entry_timeframe"": ""M15"", ""signal"": {""type"": ""prev_color""}, ""filters"": [{""type"": ""regime"", ""ma_n"": 50, ""side"": ""with""}], ""entry"": {""type"": ""fib_limit_entry"", ""level"": 0.618}, ""stop"": {""type"": ""h4_atr"", ""mult"": 1.0, ""atr_n"": 14}, ""exit"": {""type"": ""h4_close""}, ""risk"": {""per_trade_pct"": 0.5}, ""cost_bps"": 1.5, ""seed"": null}"
med__delayed_entry_1__prev_h4_open,False,False,False,3,-7.556,0.0,1783,-0.5495,-5.147,-4.918,2120,17.44,-0.4103,-1.91,-1.737,0.877,-0.4897,-0.117,0.9991,-0.688,0.998,0.998,0.998,-0.5678,1,7,0.836,0.8659,0.606,0.108,True,wf_folds<4 (got 3); wf_median_sharpe<=0.0 (got -7.556); wf_pct_positive_folds<0.5 (got 0.0); holdout_total_return<=0 (got -0.4103); profit_factor<=1.2 (got 0.877); max_drawdown<-0.2 (got -0.4897); label_permutation failed (p=0.998); random_baseline failed (p=0.998); block_bootstrap failed (p=0.998); stress_total_return<=0 (got -0.688); yearly_consistency failed (1 of 7),"{""id"": ""med__delayed_entry_1__prev_h4_open"", ""bias_timeframe"": ""H4"", ""setup_timeframe"": ""H4"", ""entry_timeframe"": ""M15"", ""signal"": {""type"": ""prev_color""}, ""filters"": [{""type"": ""regime"", ""ma_n"": 50, ""side"": ""with""}], ""entry"": {""type"": ""delayed_entry_1""}, ""stop"": {""type"": ""prev_h4_open""}, ""exit"": {""type"": ""h4_close""}, ""risk"": {""per_trade_pct"": 0.5}, ""cost_bps"": 1.5, ""seed"": null}"
med__delayed_entry_1__prev_h4_extreme,False,False,False,3,-7.685,0.0,1783,-0.5347,-4.337,-4.158,2120,17.44,-0.5131,-2.393,-2.26,0.836,-0.5356,-0.1305,0.9991,-0.7425,1.0,0.998,1.0,-0.6422,1,7,0.866,0.8931,0.738,0.174,True,wf_folds<4 (got 3); wf_median_sharpe<=0.0 (got -7.685); wf_pct_positive_folds<0.5 (got 0.0); holdout_total_return<=0 (got -0.5131); profit_factor<=1.2 (got 0.836); max_drawdown<-0.2 (got -0.5356); label_permutation failed (p=1.0); random_baseline failed (p=0.998); block_bootstrap failed (p=1.0); stress_total_return<=0 (got -0.7425); yearly_consistency failed (1 of 7),"{""id"": ""med__delayed_entry_1__prev_h4_extreme"", ""bias_timeframe"": ""H4"", ""setup_timeframe"": ""H4"", ""entry_timeframe"": ""M15"", ""signal"": {""type"": ""prev_color""}, ""filters"": [{""type"": ""regime"", ""ma_n"": 50, ""side"": ""with""}], ""entry"": {""type"": ""delayed_entry_1""}, ""stop"": {""type"": ""prev_h4_extreme""}, ""exit"": {""type"": ""h4_close""}, ""risk"": {""per_trade_pct"": 0.5}, ""cost_bps"": 1.5, ""seed"": null}"
med__delayed_entry_1__h4_atr_x1.0,False,False,False,3,-7.15,0.0,1783,-0.5429,-4.17,-3.899,2120,17.44,-0.4972,-2.075,-1.932,0.863,-0.5455,-0.1066,0.9991,-0.7352,0.996,0.998,1.0,-0.643,1,7,0.914,0.9355,0.702,0.224,True,wf_folds<4 (got 3); wf_median_sharpe<=0.0 (got -7.15); wf_pct_positive_folds<0.5 (got 0.0); holdout_total_return<=0 (got -0.4972); profit_factor<=1.2 (got 0.863); max_drawdown<-0.2 (got -0.5455); label_permutation failed (p=0.996); random_baseline failed (p=0.998); block_bootstrap failed (p=1.0); stress_total_return<=0 (got -0.7352); yearly_consistency failed (1 of 7),"{""id"": ""med__delayed_entry_1__h4_atr_x1.0"", ""bias_timeframe"": ""H4"", ""setup_timeframe"": ""H4"", ""entry_timeframe"": ""M15"", ""signal"": {""type"": ""prev_color""}, ""filters"": [{""type"": ""regime"", ""ma_n"": 50, ""side"": ""with""}], ""entry"": {""type"": ""delayed_entry_1""}, ""stop"": {""type"": ""h4_atr"", ""mult"": 1.0, ""atr_n"": 14}, ""exit"": {""type"": ""h4_close""}, ""risk"": {""per_trade_pct"": 0.5}, ""cost_bps"": 1.5, ""seed"": null}"
med__delayed_entry_2__prev_h4_open,False,False,False,3,-7.342,0.0,1783,-0.4669,-4.092,-3.906,2120,17.44,-0.3571,-1.663,-1.542,0.897,-0.446,-0.1031,0.9991,-0.6591,0.996,0.996,1.0,-0.5212,1,7,0.786,0.8197,0.492,0.07,True,wf_folds<4 (got 3); wf_median_sharpe<=0.0 (got -7.342); wf_pct_positive_folds<0.5 (got 0.0); holdout_total_return<=0 (got -0.3571); profit_factor<=1.2 (got 0.897); max_drawdown<-0.2 (got -0.446); label_permutation failed (p=0.996); random_baseline failed (p=0.996); block_bootstrap failed (p=1.0); stress_total_return<=0 (got -0.6591); yearly_consistency failed (1 of 7),"{""id"": ""med__delayed_entry_2__prev_h4_open"", ""bias_timeframe"": ""H4"", ""setup_timeframe"": ""H4"", ""entry_timeframe"": ""M15"", ""signal"": {""type"": ""prev_color""}, ""filters"": [{""type"": ""regime"", ""ma_n"": 50, ""side"": ""with""}], ""entry"": {""type"": ""delayed_entry_2""}, ""stop"": {""type"": ""prev_h4_open""}, ""exit"": {""type"": ""h4_close""}, ""risk"": {""per_trade_pct"": 0.5}, ""cost_bps"": 1.5, ""seed"": null}"
med__delayed_entry_2__prev_h4_extreme,False,False,False,3,-6.361,0.0,1783,-0.4804,-3.841,-3.683,2120,17.44,-0.4792,-2.257,-2.151,0.847,-0.5104,-0.1252,0.9991,-0.724,1.0,0.998,1.0,-0.6118,1,7,0.854,0.8823,0.674,0.132,True,wf_folds<4 (got 3); wf_median_sharpe<=0.0 (got -6.361); wf_pct_positive_folds<0.5 (got 0.0); holdout_total_return<=0 (got -0.4792); profit_factor<=1.2 (got 0.847); max_drawdown<-0.2 (got -0.5104); label_permutation failed (p=1.0); random_baseline failed (p=0.998); block_bootstrap failed (p=1.0); stress_total_return<=0 (got -0.724); yearly_consistency failed (1 of 7),"{""id"": ""med__delayed_entry_2__prev_h4_extreme"", ""bias_timeframe"": ""H4"", ""setup_timeframe"": ""H4"", ""entry_timeframe"": ""M15"", ""signal"": {""type"": ""prev_color""}, ""filters"": [{""type"": ""regime"", ""ma_n"": 50, ""side"": ""with""}], ""entry"": {""type"": ""delayed_entry_2""}, ""stop"": {""type"": ""prev_h4_extreme""}, ""exit"": {""type"": ""h4_close""}, ""risk"": {""per_trade_pct"": 0.5}, ""cost_bps"": 1.5, ""seed"": null}"
med__delayed_entry_2__h4_atr_x1.0,False,False,False,3,-6.793,0.0,1783,-0.4869,-3.67,-3.435,2120,17.44,-0.5195,-2.305,-2.157,0.84,-0.5483,-0.1202,0.9986,-0.7403,1.0,0.998,1.0,-0.6463,1,7,0.906,0.9286,0.722,0.22,True,wf_folds<4 (got 3); wf_median_sharpe<=0.0 (got -6.793); wf_pct_positive_folds<0.5 (got 0.0); holdout_total_return<=0 (got -0.5195); profit_factor<=1.2 (got 0.84); max_drawdown<-0.2 (got -0.5483); label_permutation failed (p=1.0); random_baseline failed (p=0.998); block_bootstrap failed (p=1.0); stress_total_return<=0 (got -0.7403); yearly_consistency failed (1 of 7),"{""id"": ""med__delayed_entry_2__h4_atr_x1.0"", ""bias_timeframe"": ""H4"", ""setup_timeframe"": ""H4"", ""entry_timeframe"": ""M15"", ""signal"": {""type"": ""prev_color""}, ""filters"": [{""type"": ""regime"", ""ma_n"": 50, ""side"": ""with""}], ""entry"": {""type"": ""delayed_entry_2""}, ""stop"": {""type"": ""h4_atr"", ""mult"": 1.0, ""atr_n"": 14}, ""exit"": {""type"": ""h4_close""}, ""risk"": {""per_trade_pct"": 0.5}, ""cost_bps"": 1.5, ""seed"": null}"
med__zone_midpoint_limit__prev_h4_open,False,False,False,3,-4.895,0.0,1081,-0.1479,-1.875,-1.756,1244,10.23,-0.15,-1.15,-1.097,0.887,-0.1914,-0.125,0.9992,-0.2266,0.962,0.952,0.96,-0.2637,0,7,0.358,0.401,0.044,0.002,True,wf_folds<4 (got 3); wf_median_sharpe<=0.0 (got -4.895); wf_pct_positive_folds<0.5 (got 0.0); holdout_total_return<=0 (got -0.15); profit_factor<=1.2 (got 0.887); label_permutation failed (p=0.962); random_baseline failed (p=0.952); block_bootstrap failed (p=0.96); stress_total_return<=0 (got -0.2266); yearly_consistency failed (0 of 7),"{""id"": ""med__zone_midpoint_limit__prev_h4_open"", ""bias_timeframe"": ""H4"", ""setup_timeframe"": ""H4"", ""entry_timeframe"": ""M15"", ""signal"": {""type"": ""prev_color""}, ""filters"": [{""type"": ""regime"", ""ma_n"": 50, ""side"": ""with""}], ""entry"": {""type"": ""zone_midpoint_limit""}, ""stop"": {""type"": ""prev_h4_open""}, ""exit"": {""type"": ""h4_close""}, ""risk"": {""per_trade_pct"": 0.5}, ""cost_bps"": 1.5, ""seed"": null}"
med__zone_midpoint_limit__prev_h4_extreme,False,False,False,3,-5.723,0.3333,1081,-0.1408,-1.324,-1.243,1244,10.23,-0.1859,-1.072,-1.087,0.912,-0.239,-0.0813,0.9992,-0.2518,0.96,0.936,0.962,-0.3236,0,7,0.614,0.6556,0.162,0.016,True,wf_folds<4 (got 3); wf_median_sharpe<=0.0 (got -5.723); wf_pct_positive_folds<0.5 (got 0.3333); holdout_total_return<=0 (got -0.1859); profit_factor<=1.2 (got 0.912); max_drawdown<-0.2 (got -0.239); label_permutation failed (p=0.96); random_baseline failed (p=0.936); block_bootstrap failed (p=0.962); stress_total_return<=0 (got -0.2518); yearly_consistency failed (0 of 7),"{""id"": ""med__zone_midpoint_limit__prev_h4_extreme"", ""bias_timeframe"": ""H4"", ""setup_timeframe"": ""H4"", ""entry_timeframe"": ""M15"", ""signal"": {""type"": ""prev_color""}, ""filters"": [{""type"": ""regime"", ""ma_n"": 50, ""side"": ""with""}], ""entry"": {""type"": ""zone_midpoint_limit""}, ""stop"": {""type"": ""prev_h4_extreme""}, ""exit"": {""type"": ""h4_close""}, ""risk"": {""per_trade_pct"": 0.5}, ""cost_bps"": 1.5, ""seed"": null}"
med__zone_midpoint_limit__h4_atr_x1.0,False,False,False,3,-4.914,0.3333,1081,-0.1788,-1.374,-1.316,1244,10.23,-0.1945,-0.862,-0.89,0.914,-0.2346,-0.0557,0.9984,-0.2489,0.928,0.896,0.936,-0.3489,0,7,0.792,0.8253,0.36,0.016,True,wf_folds<4 (got 3); wf_median_sharpe<=0.0 (got -4.914); wf_pct_positive_folds<0.5 (got 0.3333); holdout_total_return<=0 (got -0.1945); profit_factor<=1.2 (got 0.914); max_drawdown<-0.2 (got -0.2346); label_permutation failed (p=0.928); random_baseline failed (p=0.896); block_bootstrap failed (p=0.936); stress_total_return<=0 (got -0.2489); yearly_consistency failed (0 of 7),"{""id"": ""med__zone_midpoint_limit__h4_atr_x1.0"", ""bias_timeframe"": ""H4"", ""setup_timeframe"": ""H4"", ""entry_timeframe"": ""M15"", ""signal"": {""type"": ""prev_color""}, ""filters"": [{""type"": ""regime"", ""ma_n"": 50, ""side"": ""with""}], ""entry"": {""type"": ""zone_midpoint_limit""}, ""stop"": {""type"": ""h4_atr"", ""mult"": 1.0, ""atr_n"": 14}, ""exit"": {""type"": ""h4_close""}, ""risk"": {""per_trade_pct"": 0.5}, ""cost_bps"": 1.5, ""seed"": null}"
ny__touch_entry__prev_h4_open,False,False,False,3,-5.36,0.0,332,-0.1325,-1.503,-1.948,349,2.87,-0.0726,-0.561,-0.768,0.899,-0.1441,-0.0626,0.9742,-0.1626,0.832,0.804,0.744,-0.2031,0,7,0.61,0.6518,0.156,0.008,True,wf_folds<4 (got 3); wf_median_sharpe<=0.0 (got -5.36); wf_pct_positive_folds<0.5 (got 0.0); holdout_total_return<=0 (got -0.0726); profit_factor<=1.2 (got 0.899); label_permutation failed (p=0.832); random_baseline failed (p=0.804); block_bootstrap failed (p=0.744); stress_total_return<=0 (got -0.1626); yearly_consistency failed (0 of 7),"{""id"": ""ny__touch_entry__prev_h4_open"", ""bias_timeframe"": ""H4"", ""setup_timeframe"": ""H4"", ""entry_timeframe"": ""M15"", ""signal"": {""type"": ""prev_color""}, ""filters"": [{""type"": ""body_atr"", ""min"": 0.5, ""atr_n"": 14}, {""type"": ""regime"", ""ma_n"": 50, ""side"": ""with""}, {""type"": ""session"", ""hours_utc"": [12, 13, 14, 15, 16]}], ""entry"": {""type"": ""touch_entry""}, ""stop"": {""type"": ""prev_h4_open""}, ""exit"": {""type"": ""h4_close""}, ""risk"": {""per_trade_pct"": 0.5}, ""cost_bps"": 1.5, ""seed"": null}"
ny__touch_entry__prev_h4_extreme,False,False,False,3,-4.206,0.0,332,-0.0949,-0.982,-1.299,349,2.87,-0.0477,-0.349,-0.468,0.944,-0.1194,-0.0391,0.9742,-0.1401,0.728,0.712,0.64,-0.1848,0,7,0.586,0.6284,0.162,0.004,True,wf_folds<4 (got 3); wf_median_sharpe<=0.0 (got -4.206); wf_pct_positive_folds<0.5 (got 0.0); holdout_total_return<=0 (got -0.0477); profit_factor<=1.2 (got 0.944); label_permutation failed (p=0.728); random_baseline failed (p=0.712); block_bootstrap failed (p=0.64); stress_total_return<=0 (got -0.1401); yearly_consistency failed (0 of 7),"{""id"": ""ny__touch_entry__prev_h4_extreme"", ""bias_timeframe"": ""H4"", ""setup_timeframe"": ""H4"", ""entry_timeframe"": ""M15"", ""signal"": {""type"": ""prev_color""}, ""filters"": [{""type"": ""body_atr"", ""min"": 0.5, ""atr_n"": 14}, {""type"": ""regime"", ""ma_n"": 50, ""side"": ""with""}, {""type"": ""session"", ""hours_utc"": [12, 13, 14, 15, 16]}], ""entry"": {""type"": ""touch_entry""}, ""stop"": {""type"": ""prev_h4_extreme""}, ""exit"": {""type"": ""h4_close""}, ""risk"": {""per_trade_pct"": 0.5}, ""cost_bps"": 1.5, ""seed"": null}"
ny__touch_entry__h4_atr_x1.0,False,False,False,3,-3.123,0.0,332,-0.1296,-1.376,-1.797,349,2.87,-0.0821,-0.639,-0.851,0.874,-0.151,-0.0706,0.9799,-0.1642,0.872,0.832,0.784,-0.2212,0,7,0.636,0.677,0.222,0.012,True,wf_folds<4 (got 3); wf_median_sharpe<=0.0 (got -3.123); wf_pct_positive_folds<0.5 (got 0.0); holdout_total_return<=0 (got -0.0821); profit_factor<=1.2 (got 0.874); label_permutation failed (p=0.872); random_baseline failed (p=0.832); block_bootstrap failed (p=0.784); stress_total_return<=0 (got -0.1642); yearly_consistency failed (0 of 7),"{""id"": ""ny__touch_entry__h4_atr_x1.0"", ""bias_timeframe"": ""H4"", ""setup_timeframe"": ""H4"", ""entry_timeframe"": ""M15"", ""signal"": {""type"": ""prev_color""}, ""filters"": [{""type"": ""body_atr"", ""min"": 0.5, ""atr_n"": 14}, {""type"": ""regime"", ""ma_n"": 50, ""side"": ""with""}, {""type"": ""session"", ""hours_utc"": [12, 13, 14, 15, 16]}], ""entry"": {""type"": ""touch_entry""}, ""stop"": {""type"": ""h4_atr"", ""mult"": 1.0, ""atr_n"": 14}, ""exit"": {""type"": ""h4_close""}, ""risk"": {""per_trade_pct"": 0.5}, ""cost_bps"": 1.5, ""seed"": null}"
ny__reaction_close__prev_h4_open,False,False,False,3,-9.867,0.0,332,-0.1011,-1.162,-1.514,349,2.87,-0.0034,-0.002,-0.003,1.047,-0.0887,-0.0003,0.9857,-0.1003,0.514,0.516,0.448,-0.1319,1,7,0.488,0.5317,0.04,0.0,True,wf_folds<4 (got 3); wf_median_sharpe<=0.0 (got -9.867); wf_pct_positive_folds<0.5 (got 0.0); holdout_total_return<=0 (got -0.0034); profit_factor<=1.2 (got 1.047); label_permutation failed (p=0.514); random_baseline failed (p=0.516); block_bootstrap failed (p=0.448); stress_total_return<=0 (got -0.1003); yearly_consistency failed (1 of 7),"{""id"": ""ny__reaction_close__prev_h4_open"", ""bias_timeframe"": ""H4"", ""setup_timeframe"": ""H4"", ""entry_timeframe"": ""M15"", ""signal"": {""type"": ""prev_color""}, ""filters"": [{""type"": ""body_atr"", ""min"": 0.5, ""atr_n"": 14}, {""type"": ""regime"", ""ma_n"": 50, ""side"": ""with""}, {""type"": ""session"", ""hours_utc"": [12, 13, 14, 15, 16]}], ""entry"": {""type"": ""reaction_close""}, ""stop"": {""type"": ""prev_h4_open""}, ""exit"": {""type"": ""h4_close""}, ""risk"": {""per_trade_pct"": 0.5}, ""cost_bps"": 1.5, ""seed"": null}"
ny__reaction_close__prev_h4_extreme,False,False,False,3,-9.42,0.3333,332,-0.0622,-0.647,-0.863,349,2.87,0.0144,0.143,0.19,1.092,-0.0909,0.0178,0.9885,-0.0841,0.422,0.434,0.362,-0.1201,2,7,0.47,0.5138,0.044,0.0,True,wf_folds<4 (got 3); wf_median_sharpe<=0.0 (got -9.42); wf_pct_positive_folds<0.5 (got 0.3333); profit_factor<=1.2 (got 1.092); label_permutation failed (p=0.422); random_baseline failed (p=0.434); block_bootstrap failed (p=0.362); stress_total_return<=0 (got -0.0841),"{""id"": ""ny__reaction_close__prev_h4_extreme"", ""bias_timeframe"": ""H4"", ""setup_timeframe"": ""H4"", ""entry_timeframe"": ""M15"", ""signal"": {""type"": ""prev_color""}, ""filters"": [{""type"": ""body_atr"", ""min"": 0.5, ""atr_n"": 14}, {""type"": ""regime"", ""ma_n"": 50, ""side"": ""with""}, {""type"": ""session"", ""hours_utc"": [12, 13, 14, 15, 16]}], ""entry"": {""type"": ""reaction_close""}, ""stop"": {""type"": ""prev_h4_extreme""}, ""exit"": {""type"": ""h4_close""}, ""risk"": {""per_trade_pct"": 0.5}, ""cost_bps"": 1.5, ""seed"": null}"
